NACA 4412 Airfoil M=4.0% P=40.0% T=12.0%
  1.000000  0.001260
  0.999753  0.001328
  0.999013  0.001530
  0.997781  0.001866
  0.996057  0.002336
  0.993844  0.002937
  0.991144  0.003668
  0.987958  0.004527
  0.984292  0.005510
  0.980147  0.006615
  0.975528  0.007839
  0.970440  0.009177
  0.964888  0.010627
  0.958877  0.012182
  0.952414  0.013840
  0.945503  0.015594
  0.938153  0.017440
  0.930371  0.019373
  0.922164  0.021386
  0.913540  0.023475
  0.904508  0.025633
  0.895078  0.027855
  0.885257  0.030134
  0.875056  0.032463
  0.864484  0.034838
  0.853553  0.037251
  0.842274  0.039695
  0.830656  0.042166
  0.818712  0.044655
  0.806454  0.047158
  0.793893  0.049666
  0.781042  0.052175
  0.767913  0.054677
  0.754521  0.057166
  0.740877  0.059636
  0.726995  0.062082
  0.712890  0.064496
  0.698574  0.066873
  0.684062  0.069206
  0.669369  0.071491
  0.654508  0.073720
  0.639496  0.075890
  0.624345  0.077993
  0.609072  0.080025
  0.593691  0.081980
  0.578217  0.083854
  0.562667  0.085641
  0.547054  0.087337
  0.531395  0.088936
  0.515705  0.090435
  0.500000  0.091829
  0.484295  0.093114
  0.468605  0.094287
  0.452946  0.095344
  0.437333  0.096281
  0.421783  0.097095
  0.406309  0.097785
  0.390928  0.098335
  0.375655  0.098695
  0.360504  0.098861
  0.345492  0.098832
  0.330631  0.098609
  0.315938  0.098193
  0.301426  0.097587
  0.287110  0.096794
  0.273005  0.095816
  0.259123  0.094658
  0.245479  0.093323
  0.232087  0.091818
  0.218958  0.090146
  0.206107  0.088316
  0.193546  0.086332
  0.181288  0.084201
  0.169344  0.081933
  0.157726  0.079533
  0.146447  0.077011
  0.135516  0.074375
  0.124944  0.071633
  0.114743  0.068795
  0.104922  0.065870
  0.095492  0.062868
  0.086460  0.059797
  0.077836  0.056668
  0.069629  0.053490
  0.061847  0.050272
  0.054497  0.047023
  0.047586  0.043754
  0.041123  0.040472
  0.035112  0.037187
  0.029560  0.033906
  0.024472  0.030638
  0.019853  0.027390
  0.015708  0.024168
  0.012042  0.020980
  0.008856  0.017830
  0.006156  0.014725
  0.003943  0.011669
  0.002219  0.008665
  0.000987  0.005718
  0.000247  0.002829
  0.000000  0.000000 
